Laser Power (dBm),Length of Segment 1 (Km),Q (dB),Span (km),Compensation (%), fiberAeff_1, fiberAeff_2, fiberAlphadB_1, fiberAlphadB_2
-8,0,6.2348,40,0,250,112,0.16,0.158
-7,0,6.9083,40,0,250,112,0.16,0.158
-6,0,7.4644,40,0,250,112,0.16,0.158
-5,0,7.6675,40,0,250,112,0.16,0.158
-4,0,7.6557,40,0,250,112,0.16,0.158
-3,0,7.0835,40,0,250,112,0.16,0.158
-2,0,6.3281,40,0,250,112,0.16,0.158
-1,0,4.6601,40,0,250,112,0.16,0.158
0,0,4.7136,40,0,250,112,0.16,0.158
1,0,0.5385300000000001,40,0,250,112,0.16,0.158
2,0,-0.10562,40,0,250,112,0.16,0.158
3,0,-2.3532,40,0,250,112,0.16,0.158
-8,4,6.1427,40,0,250,112,0.16,0.158
-7,4,6.885,40,0,250,112,0.16,0.158
-6,4,7.4644,40,0,250,112,0.16,0.158
-5,4,7.7595,40,0,250,112,0.16,0.158
-4,4,7.9149,40,0,250,112,0.16,0.158
-3,4,7.4954,40,0,250,112,0.16,0.158
-2,4,6.3637,40,0,250,112,0.16,0.158
-1,4,5.9177,40,0,250,112,0.16,0.158
0,4,3.9116,40,0,250,112,0.16,0.158
1,4,2.1783,40,0,250,112,0.16,0.158
2,4,0.45398999999999995,40,0,250,112,0.16,0.158
3,4,-2.079,40,0,250,112,0.16,0.158
-8,8,6.0446,40,0,250,112,0.16,0.158
-7,8,6.7259,40,0,250,112,0.16,0.158
-6,8,7.3102,40,0,250,112,0.16,0.158
-5,8,7.8318,40,0,250,112,0.16,0.158
-4,8,7.9363,40,0,250,112,0.16,0.158
-3,8,7.7374,40,0,250,112,0.16,0.158
-2,8,7.295,40,0,250,112,0.16,0.158
-1,8,5.9288,40,0,250,112,0.16,0.158
0,8,2.7952,40,0,250,112,0.16,0.158
1,8,2.3159,40,0,250,112,0.16,0.158
2,8,0.99645,40,0,250,112,0.16,0.158
3,8,-0.1404,40,0,250,112,0.16,0.158
-8,12,5.8734,40,0,250,112,0.16,0.158
-7,12,6.5777,40,0,250,112,0.16,0.158
-6,12,7.112,40,0,250,112,0.16,0.158
-5,12,7.6874,40,0,250,112,0.16,0.158
-4,12,7.8625,40,0,250,112,0.16,0.158
-3,12,7.9658,40,0,250,112,0.16,0.158
-2,12,7.4715,40,0,250,112,0.16,0.158
-1,12,6.2922,40,0,250,112,0.16,0.158
0,12,5.4455,40,0,250,112,0.16,0.158
1,12,4.2317,40,0,250,112,0.16,0.158
2,12,1.9038,40,0,250,112,0.16,0.158
3,12,-0.8363200000000001,40,0,250,112,0.16,0.158
-8,16,5.7662,40,0,250,112,0.16,0.158
-7,16,6.4491,40,0,250,112,0.16,0.158
-6,16,7.1249,40,0,250,112,0.16,0.158
-5,16,7.4846,40,0,250,112,0.16,0.158
-4,16,7.7734,40,0,250,112,0.16,0.158
-3,16,7.9363,40,0,250,112,0.16,0.158
-2,16,7.6349,40,0,250,112,0.16,0.158
-1,16,7.0059,40,0,250,112,0.16,0.158
0,16,6.2971,40,0,250,112,0.16,0.158
1,16,4.3096,40,0,250,112,0.16,0.158
2,16,3.0525,40,0,250,112,0.16,0.158
3,16,1.4243,40,0,250,112,0.16,0.158
-8,20,5.6211,40,0,250,112,0.16,0.158
-7,20,6.3629999999999995,40,0,250,112,0.16,0.158
-6,20,6.8453,40,0,250,112,0.16,0.158
-5,20,7.3189,40,0,250,112,0.16,0.158
-4,20,7.7903,40,0,250,112,0.16,0.158
-3,20,7.8507,40,0,250,112,0.16,0.158
-2,20,7.7819,40,0,250,112,0.16,0.158
-1,20,7.2788,40,0,250,112,0.16,0.158
0,20,6.6426,40,0,250,112,0.16,0.158
1,20,4.9959,40,0,250,112,0.16,0.158
2,20,3.0273,40,0,250,112,0.16,0.158
3,20,1.7103,40,0,250,112,0.16,0.158
-8,24,5.5452,40,0,250,112,0.16,0.158
-7,24,6.0478,40,0,250,112,0.16,0.158
-6,24,6.6921,40,0,250,112,0.16,0.158
-5,24,7.2427,40,0,250,112,0.16,0.158
-4,24,7.5391,40,0,250,112,0.16,0.158
-3,24,7.8982,40,0,250,112,0.16,0.158
-2,24,7.8420000000000005,40,0,250,112,0.16,0.158
-1,24,7.2961,40,0,250,112,0.16,0.158
0,24,6.3659,40,0,250,112,0.16,0.158
1,24,5.044,40,0,250,112,0.16,0.158
2,24,4.0013,40,0,250,112,0.16,0.158
3,24,2.8498,40,0,250,112,0.16,0.158
-8,28,5.3858,40,0,250,112,0.16,0.158
-7,28,6.0128,40,0,250,112,0.16,0.158
-6,28,6.4835,40,0,250,112,0.16,0.158
-5,28,7.0333,40,0,250,112,0.16,0.158
-4,28,7.3343,40,0,250,112,0.16,0.158
-3,28,7.7734,40,0,250,112,0.16,0.158
-2,28,7.6194,40,0,250,112,0.16,0.158
-1,28,7.468,40,0,250,112,0.16,0.158
0,28,6.7985,40,0,250,112,0.16,0.158
1,28,5.4609,40,0,250,112,0.16,0.158
2,28,4.6299,40,0,250,112,0.16,0.158
3,28,3.7692,40,0,250,112,0.16,0.158
-8,32,5.2729,40,0,250,112,0.16,0.158
-7,32,5.8297,40,0,250,112,0.16,0.158
-6,32,6.2936,40,0,250,112,0.16,0.158
-5,32,6.8114,40,0,250,112,0.16,0.158
-4,32,7.2248,40,0,250,112,0.16,0.158
-3,32,7.5452,40,0,250,112,0.16,0.158
-2,32,7.5965,40,0,250,112,0.16,0.158
-1,32,7.487,40,0,250,112,0.16,0.158
0,32,7.1671,40,0,250,112,0.16,0.158
1,32,5.9559,40,0,250,112,0.16,0.158
2,32,4.4702,40,0,250,112,0.16,0.158
3,32,3.6645,40,0,250,112,0.16,0.158
-8,36,5.1883,40,0,250,112,0.16,0.158
-7,36,5.6457,40,0,250,112,0.16,0.158
-6,36,6.2205,40,0,250,112,0.16,0.158
-5,36,6.6394,40,0,250,112,0.16,0.158
-4,36,6.952000000000001,40,0,250,112,0.16,0.158
-3,36,7.4017,40,0,250,112,0.16,0.158
-2,36,7.6610000000000005,40,0,250,112,0.16,0.158
-1,36,7.5927,40,0,250,112,0.16,0.158
0,36,7.1499,40,0,250,112,0.16,0.158
1,36,6.5137,40,0,250,112,0.16,0.158
2,36,4.9084,40,0,250,112,0.16,0.158
3,36,3.9518,40,0,250,112,0.16,0.158
-8,40,5.0888,40,0,250,112,0.16,0.158
-7,40,5.6105,40,0,250,112,0.16,0.158
-6,40,5.9827,40,0,250,112,0.16,0.158
-5,40,6.5252,40,0,250,112,0.16,0.158
-4,40,6.8922,40,0,250,112,0.16,0.158
-3,40,7.3465,40,0,250,112,0.16,0.158
-2,40,7.5763,40,0,250,112,0.16,0.158
-1,40,7.4109,40,0,250,112,0.16,0.158
0,40,7.3004,40,0,250,112,0.16,0.158
1,40,6.7094,40,0,250,112,0.16,0.158
2,40,5.7749,40,0,250,112,0.16,0.158
3,40,4.2639,40,0,250,112,0.16,0.158
